species	id	protein	query	target	pident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bits
DIRS/DIRS	TE_000001		Pi_DIRS1_pp	Pi_DIRS1_pp	1	357	0	0	1	357	1	357	2.994E-243	741
DNA_virus	TE_000002		PIVE#DNA_virus	PIVE#DNA_virus	1	962	0	0	1	962	1	962	0	1999
DNA/Crypton/Crypton	TE_000003		Crypton-1_NV_yr#DNA/Crypton	Crypton-1_NV_yr#DNA/Crypton	1	271	0	0	1	271	1	271	1.374E-182	561
DNA/Crypton/Crypton	TE_000004		Crypton-1_SP_yr#DNA/Crypton	Crypton-1_SP_yr#DNA/Crypton	1	451	0	0	1	451	1	451	1.918E-297	902
DNA/Crypton/Crypton	TE_000005		CryptonCn1_yr#DNA/Crypton	CryptonCn1_yr#DNA/Crypton	1	691	0	0	1	691	1	691	0	1384
DNA/Crypton/Crypton	TE_000006	tyr_recombinase	PITG_06069	PITG_06069	1	669	0	0	1	669	1	669	0	1372
DNA/Crypton/Crypton	TE_000007	tyr_recombinase	PITG_09371	PITG_09371	1	447	0	0	1	447	1	447	8.478E-298	903
DNA/Crypton/Crypton	TE_000008	tyr_recombinase	PITG_14842	PITG_14842	1	563	0	0	1	563	1	563	0	1135
DNA/Crypton/Crypton	TE_000009		Ps128130	Ps128130	1	702	0	0	1	702	1	702	0	1415
DNA/Crypton/Crypton	TE_000009		Ps128130	PITG_08962	0.426	464	222	9	29	479	1	433	3.941E-101	345
DNA/Crypton/Crypton	TE_000009		Ps128130	PITG_02404	0.405	464	217	8	29	479	1	418	1.253E-90	314
DNA/Crypton/Crypton	TE_000009		Ps128130	PITG_15386	0.39	464	206	11	29	479	1	400	2.802E-84	295
DNA/Crypton/Crypton	TE_000009		Ps128130	PITG_20451	0.385	462	204	8	29	477	1	395	1.968E-82	289
DNA/Crypton/Crypton	TE_000009		Ps128130	PITG_18967	0.384	684	370	16	29	694	1	651	9.953E-120	400
DNA/Crypton/Crypton	TE_000009		Ps128130	PITG_20069	0.376	459	184	11	29	474	1	370	1.238E-73	263
DNA/Crypton/Crypton	TE_000009		Ps128130	PITG_16330	0.357	397	163	7	65	445	16	336	1.199E-55	208
DNA/Crypton/Crypton	TE_000010	tyr_recombinase	XP_001228725.1	XP_001228725.1	1	767	0	0	1	767	1	767	0	1535
DNA/Crypton/Crypton	TE_000011	integrase	YP_001130132.1	YP_001130132.1	1	649	0	0	1	649	1	649	0	1295
DNA/Crypton/Crypton	TE_000011	integrase	YP_001130132.1	YP_375774.1	0.97	644	19	0	1	644	1	644	0	1254
DNA/Crypton/Crypton	TE_000011	integrase	YP_001130132.1	ZP_02125433.1	0.387	232	125	5	414	630	1	230	1.259E-35	145
DNA/Crypton/Crypton	TE_000011	integrase	YP_001130132.1	ZP_02122961.1	0.373	305	171	7	342	630	37	337	1.992E-47	182
DNA/Crypton/Crypton	TE_000011	integrase	YP_001130132.1	YP_865589.1	0.337	267	171	4	364	630	45	305	5.111E-34	139
DNA/Crypton/Crypton	TE_000011	integrase	YP_001130132.1	YP_001260028.1	0.283	328	185	9	344	625	56	379	5.242E-23	104
DNA/Crypton/Crypton	TE_000011	integrase	YP_001130132.1	ZP_01162931.1	0.278	266	178	6	21	283	38	292	6.933E-23	104
DNA/Crypton/Crypton	TE_000011	integrase	YP_001130132.1	ZP_01304909.1	0.273	315	163	5	44	292	4	318	1.98E-21	99
DNA/Crypton/Crypton	TE_000011	integrase	YP_001130132.1	YP_001595719.1	0.27	311	183	7	347	625	51	349	9.83E-20	93
DNA/Crypton/Crypton	TE_000011	integrase	YP_001130132.1	ZP_01222718.1	0.269	293	190	8	343	629	31	305	1.713E-23	106
DNA/Crypton/Crypton	TE_000011	integrase	YP_001130132.1	YP_361681.1	0.268	331	192	8	342	627	60	385	2.268E-19	92
DNA/Crypton/Crypton	TE_000011	integrase	YP_001130132.1	YP_863890.1	0.262	267	183	7	369	625	90	352	3.153E-16	82
DNA/Crypton/Crypton	TE_000011	integrase	YP_001130132.1	YP_001181772.1	0.244	298	211	7	338	625	19	312	3.153E-16	82
DNA/Crypton/Crypton	TE_000012	tyr_recombinase	YP_001481406.1	YP_001481406.1	1	394	0	0	1	394	1	394	3.674E-263	800
DNA/Crypton/Crypton	TE_000012	tyr_recombinase	YP_001481406.1	NP_941132.1	0.987	386	5	0	9	394	1	386	2.315E-255	778
DNA/Crypton/Crypton	TE_000012	tyr_recombinase	YP_001481406.1	NP_943544.1	0.371	361	206	7	43	394	29	377	2.537E-59	210
DNA/Crypton/Crypton	TE_000012	tyr_recombinase	YP_001481406.1	1Q3U	0.273	351	197	14	45	388	44	343	3.773E-20	93
DNA/Crypton/Crypton	TE_000012	tyr_recombinase	YP_001481406.1	ZP_02701621.1	0.272	359	187	13	45	388	40	339	1.205E-19	91
DNA/Crypton/Crypton	TE_000012	tyr_recombinase	YP_001481406.1	AAV84949.1	0.256	327	183	9	57	375	53	327	5.092E-15	76
DNA/Crypton/Crypton	TE_000013	integrase	YP_001510528.1	YP_001510528.1	1	335	0	0	1	335	1	335	1.16E-208	640
DNA/Crypton/Crypton	TE_000013	integrase	YP_001510528.1	ZP_02118242.1	0.401	294	161	9	36	328	44	323	4.105E-36	139
DNA/Crypton/Crypton	TE_000014	integrase_recombinase	ZP_01900157.1	ZP_01900157.1	1	361	0	0	1	361	1	361	6.313E-239	728
DNA/Crypton/Crypton	TE_000014	integrase_recombinase	ZP_01900157.1	ZP_01225190.1	0.263	292	181	8	40	330	16	274	3.812E-13	70
DNA/Crypton/Crypton-like	TE_000015		Crypton-1_NVi_yr#DNA?/Crypton?	Crypton-1_NVi_yr#DNA?/Crypton?	1	275	0	0	1	275	1	275	6.443E-183	562
DNA/Crypton/Crypton-like	TE_000016		Crypton-1_TC_yr#DNA?/Crypton?	Crypton-1_TC_yr#DNA?/Crypton?	1	274	0	0	1	274	1	274	4.739E-177	545
DNA/Crypton/Crypton-like	TE_000017		Crypton-2_TCa_yr#DNA?/Crypton?	Crypton-2_TCa_yr#DNA?/Crypton?	1	287	0	0	1	287	1	287	3.995E-182	560
DNA/ISa	TE_000018		GB:AAA25195	GB:AAA25195	1	86	0	0	1	86	1	86	1.665E-49	166
DNA/ISa	TE_000018		GB:AAA25195	Q48667_9LACT/1-74	1	74	0	0	1	74	1	74	1.7E-42	146
DNA/ISa	TE_000018		GB:AAA25195	Q48627_LEULA/1-75	0.369	73	44	1	4	74	3	75	6.693E-09	50
DNA/ISa	TE_000018		GB:AAA25195	O53033_ENTFC/1-73	0.366	71	45	0	4	74	3	73	4.155E-11	56
DNA/ISa	TE_000018		GB:AAA25195	Q45623_BACST/4-82	0.364	74	44	1	4	74	6	79	5.708E-11	56
DNA/ISa	TE_000018		GB:AAA25195	Q48844_LACSK/1-77	0.337	77	45	3	3	74	2	77	5.712E-07	44
DNA/ISa	TE_000019		GB:AAA83518	GB:AAA83518	1	478	0	0	1	478	1	478	2.421E-322	976
DNA/ISa	TE_000019		GB:AAA83518	T231C_BACTB/97-385	1	289	0	0	97	385	1	289	7.609E-194	605
DNA/ISa	TE_000019		GB:AAA83518	GB:AAA83517	0.905	478	45	0	1	478	1	478	1.166E-292	890
DNA/ISa	TE_000019		GB:AAA83518	GB:CAA27132	0.905	478	45	0	1	478	1	478	2.189E-292	889
DNA/ISa	TE_000019		GB:AAA83518	GB:CAA44989	0.878	478	58	0	1	478	1	478	2.282E-286	872
DNA/ISa	TE_000019		GB:AAA83518	GB:CAA44990	0.828	478	82	0	1	478	1	478	4.366E-267	816
DNA/ISa	TE_000019		GB:AAA83518	GB:CAA44991	0.719	478	133	1	1	478	1	477	1.496E-234	722
DNA/ISa	TE_000019		GB:AAA83518	T231F_BACTI/97-385	0.685	289	91	0	97	385	1	289	8.129E-135	434
DNA/ISa	TE_000019		GB:AAA83518	Q9X307_BACAN/105-393	0.484	289	149	0	97	385	1	289	5.904E-87	295
DNA/ISa	TE_000019		GB:AAA83518	T1151_CLOPE/93-381	0.408	272	153	2	118	385	22	289	1.576E-62	223
DNA/ISa	TE_000019		GB:AAA83518	GB:CAA79147	0.341	445	285	2	25	465	21	461	2.577E-83	284
DNA/ISa	TE_000020		GB:AAA85002	GB:AAA85002	1	328	0	0	1	328	1	328	7.557E-221	674
DNA/ISa	TE_000021		GB:AAA85864	GB:AAA85864	1	474	0	0	1	474	1	474	2.664E-312	947
